agent,cem_seed,iteration,val_reward,val_net_value,a_u,beta_u,a_d,beta_d
Dyn-BATNA,0,5,0.5688,0.5828,0.6455,3.9505,0.8076,2.0814
Dyn-BATNA,0,6,0.5812,0.5943,0.6534,3.9079,0.8225,2.2208
Dyn-BATNA,0,7,0.5824,0.5956,0.6649,3.8871,0.8557,2.5516
Dyn-BATNA,0,8,0.5711,0.5851,0.6443,3.8691,0.851,2.5171
Dyn-BATNA,0,9,0.5779,0.5911,0.659,3.8636,0.7902,2.3931
Dyn-BATNA,0,10,0.5724,0.5865,0.6365,3.9322,0.7627,2.4443
Dyn-BATNA,0,11,0.5742,0.5883,0.6363,3.9079,0.8044,2.441
Dyn-BATNA,0,12,0.5724,0.5865,0.6435,3.9542,0.8174,2.5962
Dyn-BATNA,0,13,0.5739,0.588,0.6228,3.9585,0.7564,2.5355
Dyn-BATNA,0,14,0.572,0.586,0.6465,3.9644,0.815,2.7539
Dyn-BATNA,0,15,0.5779,0.592,0.6291,3.987,0.7851,2.7428
Dyn-BATNA,1,0,0.5136,0.5254,0.65,2.1,0.7,2.1
Dyn-BATNA,1,1,0.5254,0.537,0.6907,2.7519,0.7084,2.2133
Dyn-BATNA,1,2,0.5535,0.5647,0.6487,3.0205,0.7698,2.6946
Dyn-BATNA,1,3,0.5673,0.5783,0.666,3.5132,0.7845,3.212
Dyn-BATNA,1,4,0.5657,0.5767,0.6791,3.7766,0.7891,2.8751
Dyn-BATNA,1,5,0.5708,0.5817,0.6762,3.8789,0.7999,2.8366
Dyn-BATNA,1,6,0.5752,0.5861,0.6595,3.8573,0.7936,2.579
Dyn-BATNA,1,7,0.5617,0.5738,0.6468,3.9009,0.7719,2.9236
Dyn-BATNA,1,8,0.5624,0.5753,0.6315,3.9147,0.8009,3.0405
Dyn-BATNA,1,9,0.5742,0.585,0.6506,3.9546,0.7529,2.8027
Dyn-BATNA,1,10,0.5623,0.5744,0.6407,3.8983,0.7469,2.5087
Dyn-BATNA,1,11,0.5764,0.5872,0.6562,3.917,0.7626,3.0287
Dyn-BATNA,1,12,0.5665,0.5778,0.648,3.951,0.7455,3.0026
Dyn-BATNA,1,13,0.5637,0.5758,0.6423,3.9443,0.7515,3.1081
Dyn-BATNA,1,14,0.5633,0.5754,0.6388,3.9146,0.7675,2.9424
Dyn-BATNA,1,15,0.5639,0.5768,0.6291,3.9895,0.7658,2.7283
Dyn-BATNA,2,0,0.5091,0.5171,0.65,2.1,0.7,2.1
Dyn-BATNA,2,1,0.542,0.5496,0.6411,2.9195,0.6864,2.5027
Dyn-BATNA,2,2,0.5425,0.5501,0.6715,3.3185,0.6356,2.7912
Dyn-BATNA,2,3,0.5539,0.5614,0.6639,3.4924,0.6625,2.9847
Dyn-BATNA,2,4,0.5667,0.5741,0.6574,3.863,0.7403,2.8738
Dyn-BATNA,2,5,0.567,0.5744,0.6745,3.8692,0.785,3.4196
Dyn-BATNA,2,6,0.564,0.5715,0.6876,3.9184,0.8126,2.9342
Dyn-BATNA,2,7,0.5682,0.5757,0.6803,3.9339,0.8183,3.3184
Dyn-BATNA,2,8,0.5702,0.5776,0.6693,3.9281,0.8054,3.1224
Dyn-BATNA,2,9,0.5667,0.5749,0.6405,3.9268,0.7988,3.0805
Dyn-BATNA,2,10,0.5671,0.5761,0.6274,3.9253,0.8036,3.0847
Dyn-BATNA,2,11,0.5666,0.5756,0.6274,3.9736,0.7923,2.7648
Dyn-BATNA,2,12,0.5729,0.5802,0.6497,3.9458,0.8443,2.4865
Dyn-BATNA,2,13,0.5722,0.5795,0.6573,3.9553,0.8525,2.8097
Dyn-BATNA,2,14,0.5714,0.5788,0.655,3.8746,0.8918,2.7086
Dyn-BATNA,2,15,0.5746,0.5819,0.6493,3.966,0.865,2.5736
Dyn-tau-nohedge,0,0,0.5032,0.512,0.65,2.1,0.7,2.1
Dyn-tau-nohedge,0,1,0.5115,0.5203,0.685,2.4563,0.7503,2.18
Dyn-tau-nohedge,0,2,0.5375,0.5492,0.6053,3.159,0.78,1.9875
Dyn-tau-nohedge,0,3,0.5522,0.5648,0.6072,3.7993,0.8013,2.2389
Dyn-tau-nohedge,0,4,0.5532,0.5657,0.6121,3.9275,0.8271,2.0959
Dyn-tau-nohedge,0,5,0.5614,0.5707,0.635,3.9569,0.7849,2.3321
Dyn-tau-nohedge,0,6,0.5604,0.5698,0.646,3.9228,0.8874,2.3543
Dyn-tau-nohedge,0,7,0.5786,0.5871,0.6575,3.9454,0.9524,2.6444
Dyn-tau-nohedge,0,8,0.5754,0.5839,0.6494,3.9201,0.9378,2.6529
Dyn-tau-nohedge,0,9,0.5719,0.5803,0.6661,3.9159,0.8905,2.3359
Dyn-tau-nohedge,0,10,0.5632,0.5726,0.6397,3.9712,0.8601,2.4377
Dyn-tau-nohedge,0,11,0.5665,0.5759,0.6307,3.9613,0.8758,2.464
Dyn-tau-nohedge,0,12,0.5623,0.5716,0.647,3.9351,0.9111,2.5212
Dyn-tau-nohedge,0,13,0.5675,0.5769,0.627,3.9606,0.8734,2.3954
Dyn-tau-nohedge,0,14,0.5754,0.5839,0.6611,3.9656,0.8691,2.6692
Dyn-tau-nohedge,0,15,0.5678,0.5772,0.6296,3.9872,0.869,2.586
Dyn-tau-nohedge,1,0,0.4984,0.5073,0.65,2.1,0.7,2.1
Dyn-tau-nohedge,1,1,0.5122,0.5209,0.6907,2.7519,0.7084,2.2133
Dyn-tau-nohedge,1,2,0.5455,0.5537,0.6431,3.2128,0.7195,2.3147
Dyn-tau-nohedge,1,3,0.5559,0.564,0.6494,3.4868,0.7436,3.1002
Dyn-tau-nohedge,1,4,0.5478,0.5571,0.6425,3.7301,0.7519,2.7342
Dyn-tau-nohedge,1,5,0.5653,0.5733,0.6659,3.787,0.8431,3.2418
Dyn-tau-nohedge,1,6,0.5665,0.5745,0.6651,3.847,0.8763,3.1357
Dyn-tau-nohedge,1,7,0.5717,0.5797,0.6501,3.8429,0.8734,3.3269
Dyn-tau-nohedge,1,8,0.5562,0.5662,0.6328,3.8645,0.9065,3.4376
Dyn-tau-nohedge,1,9,0.5579,0.5672,0.6469,3.8871,0.9028,3.5719
Dyn-tau-nohedge,1,10,0.5584,0.5676,0.6422,3.8724,0.9149,3.6196
Dyn-tau-nohedge,1,11,0.5729,0.5809,0.6571,3.917,0.9266,3.7629
Dyn-tau-nohedge,1,12,0.5631,0.5715,0.6484,3.9513,0.9073,3.7157
Dyn-tau-nohedge,1,13,0.5594,0.5687,0.6467,3.9458,0.9152,3.7993
Dyn-tau-nohedge,1,14,0.5612,0.5704,0.6383,3.9625,0.9279,3.8246
Dyn-tau-nohedge,1,15,0.5599,0.5692,0.6392,3.9854,0.8787,3.6967
Dyn-tau-nohedge,2,0,0.4891,0.495,0.65,2.1,0.7,2.1
Dyn-tau-nohedge,2,1,0.5335,0.539,0.6364,2.9994,0.6337,2.5303
Dyn-tau-nohedge,2,2,0.5375,0.5431,0.6682,3.2886,0.6411,3.01
Dyn-tau-nohedge,2,3,0.5521,0.5575,0.6655,3.6437,0.6761,3.1335
Dyn-tau-nohedge,2,4,0.5625,0.5678,0.6504,3.9417,0.7093,3.1253
Dyn-tau-nohedge,2,5,0.5597,0.565,0.6676,3.9475,0.7009,3.4527
Dyn-tau-nohedge,2,6,0.5545,0.5599,0.6928,3.9857,0.7221,3.2754
Dyn-tau-nohedge,2,7,0.5616,0.5669,0.6763,3.9464,0.7515,3.3449
Dyn-tau-nohedge,2,8,0.5635,0.5688,0.6658,3.9475,0.7662,3.1825
Dyn-tau-nohedge,2,9,0.5658,0.5711,0.6571,3.9369,0.7535,3.3686
Dyn-tau-nohedge,2,10,0.5571,0.5641,0.625,3.9251,0.7531,3.2964
Dyn-tau-nohedge,2,11,0.557,0.5639,0.6286,3.9728,0.7227,3.1611
Dyn-tau-nohedge,2,12,0.557,0.5632,0.6474,3.958,0.7589,2.9487
Dyn-tau-nohedge,2,13,0.5636,0.5688,0.6579,3.9615,0.7681,3.032
Dyn-tau-nohedge,2,14,0.5653,0.5706,0.6513,3.958,0.7675,3.0075
Dyn-tau-nohedge,2,15,0.5614,0.5684,0.6305,3.9453,0.793,3.1898
