agent,condition,scenario,episode,seed,shock,buyer_type,severity,t_s,disruption_type,supplier_port,entry_port,invalid_actions,gated_turns,up_deal,first_bid_ratio,rho_up,rho_up_static,rho_up_agent,dn_deal,tau_true_close,tau_obs_close,qty_committed,shortfall,stockout,fill_rate_realized,rho_dn,rho_dn_deliverable,below_true_batna,below_static_tau,pareto_efficient,chain_impasse,avoidable_impasse,net_value,reward
Dyn-BATNA,no-shock,24,98,900024,False,cooperative,0.0,-1,none,Ho Chi Minh City,Los Angeles,0,0,True,0.6291,0.638,0.638,0.638,True,0.4,0.4,120,0,False,1.0,0.7195,0.7195,False,False,False,False,False,0.6787,0.6787
Dyn-tau-nohedge,no-shock,24,99,900024,False,cooperative,0.0,-1,none,Ho Chi Minh City,Los Angeles,0,0,True,0.6296,0.6373,0.6373,0.6373,True,0.4,0.4,120,0,False,1.0,0.7195,0.7195,False,False,False,False,False,0.6784,0.6784
Surplus,no-shock,25,100,900025,False,competitive,0.0,-1,none,Busan,Oakland,0,0,True,0.6404,0.5891,0.5891,0.5891,True,0.4,0.4,20,0,False,1.0,0.0817,0.0817,True,True,False,False,False,0.3354,0.3354
Static-tau,no-shock,25,101,900025,False,competitive,0.0,-1,none,Busan,Oakland,0,0,True,0.635,0.5948,0.5948,0.5948,True,0.4,0.4,120,0,False,1.0,0.4901,0.4901,False,False,True,False,False,0.5425,0.5425
Dyn-BATNA,no-shock,25,102,900025,False,competitive,0.0,-1,none,Busan,Oakland,0,0,True,0.6291,0.6091,0.6091,0.6091,True,0.4,0.4,120,0,False,1.0,0.4901,0.4901,False,False,True,False,False,0.5496,0.5496
Dyn-tau-nohedge,no-shock,25,103,900025,False,competitive,0.0,-1,none,Busan,Oakland,0,0,True,0.6296,0.6084,0.6084,0.6084,True,0.4,0.4,120,0,False,1.0,0.4901,0.4901,False,False,True,False,False,0.5493,0.5493
Surplus,no-shock,26,104,900026,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6404,0.7755,0.7755,0.7755,True,0.4,0.4,120,0,False,1.0,1.0,1.0,False,False,True,False,False,0.8877,0.8877
Static-tau,no-shock,26,105,900026,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.635,0.7755,0.7755,0.7755,True,0.4,0.4,120,0,False,1.0,1.0,1.0,False,False,True,False,False,0.8877,0.8877
Dyn-BATNA,no-shock,26,106,900026,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6291,0.7755,0.7755,0.7755,True,0.4,0.4,120,0,False,1.0,1.0,1.0,False,False,True,False,False,0.8877,0.8877
Dyn-tau-nohedge,no-shock,26,107,900026,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6296,0.7755,0.7755,0.7755,True,0.4,0.4,120,0,False,1.0,1.0,1.0,False,False,True,False,False,0.8877,0.8877
Surplus,no-shock,27,108,900027,False,competitive,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6404,0.7239,0.7239,0.7239,True,0.4,0.4,20,0,False,1.0,0.0528,0.0528,True,True,False,False,False,0.3884,0.3884
Static-tau,no-shock,27,109,900027,False,competitive,0.0,-1,none,Shanghai,Oakland,0,0,True,0.635,0.7309,0.7309,0.7309,True,0.4,0.4,120,0,False,1.0,0.4316,0.4316,False,False,True,False,False,0.5813,0.5813
Dyn-BATNA,no-shock,27,110,900027,False,competitive,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6291,0.7485,0.7485,0.7485,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,True,0.5742,0.3742
Dyn-tau-nohedge,no-shock,27,111,900027,False,competitive,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6296,0.7476,0.7476,0.7476,True,0.4,0.4,120,0,False,1.0,0.4316,0.4316,False,False,True,False,False,0.5896,0.5896
Surplus,no-shock,28,112,900028,False,cooperative,0.0,-1,none,Chennai,Oakland,0,0,True,0.6404,0.6624,0.6624,0.6624,True,0.4,0.4,120,0,False,1.0,0.712,0.712,False,False,True,False,False,0.6872,0.6872
Static-tau,no-shock,28,113,900028,False,cooperative,0.0,-1,none,Chennai,Oakland,0,0,True,0.635,0.6688,0.6688,0.6688,True,0.4,0.4,120,0,False,1.0,0.712,0.712,False,False,True,False,False,0.6904,0.6904
Dyn-BATNA,no-shock,28,114,900028,False,cooperative,0.0,-1,none,Chennai,Oakland,0,0,True,0.6291,0.6849,0.6849,0.6849,True,0.4,0.4,100,0,False,1.0,0.4849,0.4849,False,False,False,False,False,0.5849,0.5849
Dyn-tau-nohedge,no-shock,28,115,900028,False,cooperative,0.0,-1,none,Chennai,Oakland,0,0,True,0.6296,0.6841,0.6841,0.6841,True,0.4,0.4,120,0,False,1.0,0.712,0.712,False,False,True,False,False,0.698,0.698
Surplus,no-shock,29,116,900029,False,competitive,0.0,-1,none,Busan,Los Angeles,0,5,True,0.6404,0.7516,0.7516,0.7516,True,0.4,0.4,20,0,False,1.0,0.0229,0.0229,True,True,False,False,False,0.3872,0.3872
Static-tau,no-shock,29,117,900029,False,competitive,0.0,-1,none,Busan,Los Angeles,0,5,True,0.635,0.7516,0.7516,0.7516,True,0.4,0.4,100,0,False,1.0,0.4666,0.4666,False,False,True,False,False,0.6091,0.6091
Dyn-BATNA,no-shock,29,118,900029,False,competitive,0.0,-1,none,Busan,Los Angeles,0,5,True,0.6291,0.7516,0.7516,0.7516,True,0.4,0.4,100,0,False,1.0,0.4666,0.4666,False,False,True,False,False,0.6091,0.6091
Dyn-tau-nohedge,no-shock,29,119,900029,False,competitive,0.0,-1,none,Busan,Los Angeles,0,5,True,0.6296,0.7516,0.7516,0.7516,True,0.4,0.4,100,0,False,1.0,0.4666,0.4666,False,False,True,False,False,0.6091,0.6091
Surplus,no-shock,30,120,900030,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.6404,0.7357,0.7357,0.7357,True,0.4,0.4,120,0,False,1.0,0.8929,0.8929,False,False,False,False,False,0.8143,0.8143
Static-tau,no-shock,30,121,900030,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.635,0.7357,0.7357,0.7357,True,0.4,0.4,120,0,False,1.0,0.8929,0.8929,False,False,False,False,False,0.8143,0.8143
Dyn-BATNA,no-shock,30,122,900030,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.6291,0.7357,0.7357,0.7357,True,0.4,0.4,120,0,False,1.0,0.8929,0.8929,False,False,False,False,False,0.8143,0.8143
Dyn-tau-nohedge,no-shock,30,123,900030,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.6296,0.7357,0.7357,0.7357,True,0.4,0.4,120,0,False,1.0,0.8929,0.8929,False,False,False,False,False,0.8143,0.8143
Surplus,no-shock,31,124,900031,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,5,True,0.6404,0.7757,0.7757,0.7757,True,0.4,0.4,100,0,False,1.0,0.239,0.239,True,True,True,False,False,0.5073,0.5073
Static-tau,no-shock,31,125,900031,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,5,True,0.635,0.7832,0.7832,0.7832,True,0.4,0.4,100,0,False,1.0,0.4939,0.4939,False,False,True,False,False,0.6386,0.6386
Dyn-BATNA,no-shock,31,126,900031,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,5,True,0.6291,0.802,0.802,0.802,True,0.4,0.4,100,0,False,1.0,0.4939,0.4939,False,False,True,False,False,0.648,0.648
Dyn-tau-nohedge,no-shock,31,127,900031,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,5,True,0.6296,0.8011,0.8011,0.8011,True,0.4,0.4,100,0,False,1.0,0.4939,0.4939,False,False,True,False,False,0.6475,0.6475
Surplus,no-shock,32,128,900032,False,cooperative,0.0,-1,none,Manzanillo,Oakland,0,0,True,0.6404,0.7029,0.7029,0.7029,True,0.4,0.4,120,0,False,1.0,0.7269,0.7269,False,False,True,False,False,0.7149,0.7149
Static-tau,no-shock,32,129,900032,False,cooperative,0.0,-1,none,Manzanillo,Oakland,0,0,True,0.635,0.7098,0.7098,0.7098,True,0.4,0.4,120,0,False,1.0,0.7269,0.7269,False,False,True,False,False,0.7184,0.7184
Dyn-BATNA,no-shock,32,130,900032,False,cooperative,0.0,-1,none,Manzanillo,Oakland,0,0,True,0.6291,0.7268,0.7268,0.7268,True,0.4,0.4,100,0,False,1.0,0.42,0.42,False,False,False,False,False,0.5734,0.5734
Dyn-tau-nohedge,no-shock,32,131,900032,False,cooperative,0.0,-1,none,Manzanillo,Oakland,0,0,True,0.6296,0.726,0.726,0.726,True,0.4,0.4,120,0,False,1.0,0.7269,0.7269,False,False,True,False,False,0.7265,0.7265
Surplus,no-shock,33,132,900033,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.6404,0.6754,0.6754,0.6754,True,0.4,0.4,100,0,False,1.0,0.22,0.22,True,True,True,False,False,0.4477,0.4477
Static-tau,no-shock,33,133,900033,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.635,0.682,0.682,0.682,True,0.4,0.4,100,0,False,1.0,0.4554,0.4554,False,False,False,False,False,0.5687,0.5687
Dyn-BATNA,no-shock,33,134,900033,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.6291,0.6984,0.6984,0.6984,True,0.4,0.4,100,0,False,1.0,0.4554,0.4554,False,False,False,False,False,0.5769,0.5769
Dyn-tau-nohedge,no-shock,33,135,900033,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.6296,0.6976,0.6976,0.6976,True,0.4,0.4,100,0,False,1.0,0.4554,0.4554,False,False,False,False,False,0.5765,0.5765
Surplus,no-shock,34,136,900034,False,competitive,0.0,-1,none,Manzanillo,Oakland,0,5,True,0.6404,0.8496,0.8496,0.8496,True,0.4,0.4,20,0,False,1.0,0.0723,0.0723,True,True,False,False,False,0.461,0.461
Static-tau,no-shock,34,137,900034,False,competitive,0.0,-1,none,Manzanillo,Oakland,0,5,True,0.635,0.8579,0.8579,0.8579,True,0.4,0.4,100,0,False,1.0,0.4164,0.4164,False,False,False,False,False,0.6371,0.6371
Dyn-BATNA,no-shock,34,138,900034,False,competitive,0.0,-1,none,Manzanillo,Oakland,0,5,True,0.6291,0.8785,0.8785,0.8785,True,0.4,0.4,100,0,False,1.0,0.4164,0.4164,False,False,False,False,False,0.6474,0.6474
Dyn-tau-nohedge,no-shock,34,139,900034,False,competitive,0.0,-1,none,Manzanillo,Oakland,0,5,True,0.6296,0.8775,0.8775,0.8775,True,0.4,0.4,100,0,False,1.0,0.4164,0.4164,False,False,False,False,False,0.6469,0.6469
Surplus,no-shock,35,140,900035,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6404,0.765,0.765,0.765,True,0.4,0.4,120,0,False,1.0,0.8661,0.8661,False,False,True,False,False,0.8155,0.8155
Static-tau,no-shock,35,141,900035,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.635,0.7724,0.7724,0.7724,True,0.4,0.4,120,0,False,1.0,0.8661,0.8661,False,False,True,False,False,0.8193,0.8193
Dyn-BATNA,no-shock,35,142,900035,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6291,0.791,0.791,0.791,True,0.4,0.4,120,0,False,1.0,0.8661,0.8661,False,False,True,False,False,0.8285,0.8285
Dyn-tau-nohedge,no-shock,35,143,900035,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6296,0.7901,0.7901,0.7901,True,0.4,0.4,120,0,False,1.0,0.8661,0.8661,False,False,True,False,False,0.8281,0.8281
Surplus,no-shock,36,144,900036,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,5,True,0.6404,0.8826,0.8826,0.8826,True,0.4,0.4,100,0,False,1.0,0.3347,0.3347,True,True,True,False,False,0.6087,0.6087
Static-tau,no-shock,36,145,900036,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,5,True,0.635,0.8826,0.8826,0.8826,True,0.4,0.4,100,0,False,1.0,0.4432,0.4432,False,False,False,False,False,0.6629,0.6629
Dyn-BATNA,no-shock,36,146,900036,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,5,True,0.6291,0.8826,0.8826,0.8826,True,0.4,0.4,100,0,False,1.0,0.4432,0.4432,False,False,False,False,False,0.6629,0.6629
Dyn-tau-nohedge,no-shock,36,147,900036,False,cooperative,0.0,-1,none,Busan,Los Angeles,0,5,True,0.6296,0.8826,0.8826,0.8826,True,0.4,0.4,100,0,False,1.0,0.4432,0.4432,False,False,False,False,False,0.6629,0.6629
Surplus,no-shock,37,148,900037,False,cooperative,0.0,-1,none,Shenzhen,Los Angeles,0,4,True,0.6404,0.7509,0.7509,0.7509,True,0.4,0.4,100,0,False,1.0,0.6908,0.6908,False,False,True,False,False,0.7208,0.7208
Static-tau,no-shock,37,149,900037,False,cooperative,0.0,-1,none,Shenzhen,Los Angeles,0,4,True,0.635,0.7509,0.7509,0.7509,True,0.4,0.4,100,0,False,1.0,0.6908,0.6908,False,False,True,False,False,0.7208,0.7208
Dyn-BATNA,no-shock,37,150,900037,False,cooperative,0.0,-1,none,Shenzhen,Los Angeles,0,4,True,0.6291,0.7509,0.7509,0.7509,True,0.4,0.4,100,0,False,1.0,0.6908,0.6908,False,False,True,False,False,0.7208,0.7208
Dyn-tau-nohedge,no-shock,37,151,900037,False,cooperative,0.0,-1,none,Shenzhen,Los Angeles,0,4,True,0.6296,0.7509,0.7509,0.7509,True,0.4,0.4,100,0,False,1.0,0.6908,0.6908,False,False,True,False,False,0.7208,0.7208
Surplus,no-shock,38,152,900038,False,cooperative,0.0,-1,none,Chennai,Houston,0,0,True,0.6404,0.6127,0.6127,0.6127,True,0.4,0.4,120,0,False,1.0,0.8863,0.8863,False,False,False,False,False,0.7495,0.7495
Static-tau,no-shock,38,153,900038,False,cooperative,0.0,-1,none,Chennai,Houston,0,0,True,0.635,0.6187,0.6187,0.6187,True,0.4,0.4,120,0,False,1.0,0.8863,0.8863,False,False,False,False,False,0.7525,0.7525
Dyn-BATNA,no-shock,38,154,900038,False,cooperative,0.0,-1,none,Chennai,Houston,0,0,True,0.6291,0.6336,0.6336,0.6336,True,0.4,0.4,120,0,False,1.0,0.8863,0.8863,False,False,False,False,False,0.7599,0.7599
Dyn-tau-nohedge,no-shock,38,155,900038,False,cooperative,0.0,-1,none,Chennai,Houston,0,0,True,0.6296,0.6328,0.6328,0.6328,True,0.4,0.4,120,0,False,1.0,0.8863,0.8863,False,False,False,False,False,0.7596,0.7596
Surplus,no-shock,39,156,900039,False,competitive,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6404,0.6795,0.6795,0.6795,True,0.4,0.4,20,0,False,1.0,0.0465,0.0465,True,True,False,False,False,0.363,0.363
Static-tau,no-shock,39,157,900039,False,competitive,0.0,-1,none,Shanghai,Oakland,0,0,True,0.635,0.6862,0.6862,0.6862,True,0.4,0.4,120,0,False,1.0,0.4186,0.4186,False,False,True,False,False,0.5524,0.5524
Dyn-BATNA,no-shock,39,158,900039,False,competitive,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6291,0.7026,0.7026,0.7026,True,0.4,0.4,120,0,False,1.0,0.4186,0.4186,False,False,True,False,False,0.5606,0.5606
Dyn-tau-nohedge,no-shock,39,159,900039,False,competitive,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6296,0.7018,0.7018,0.7018,True,0.4,0.4,120,0,False,1.0,0.4186,0.4186,False,False,True,False,False,0.5602,0.5602
Surplus,no-shock,40,160,900040,False,competitive,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.6404,0.8344,0.8344,0.8344,True,0.4,0.4,80,0,False,1.0,0.1236,0.1236,True,True,False,False,False,0.479,0.479
Static-tau,no-shock,40,161,900040,False,competitive,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.635,0.8344,0.8344,0.8344,True,0.4,0.4,120,0,False,1.0,0.5068,0.5068,False,False,True,False,False,0.6706,0.6706
Dyn-BATNA,no-shock,40,162,900040,False,competitive,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.6291,0.8344,0.8344,0.8344,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,True,0.6172,0.4172
Dyn-tau-nohedge,no-shock,40,163,900040,False,competitive,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.6296,0.8344,0.8344,0.8344,True,0.4,0.4,120,0,False,1.0,0.5068,0.5068,False,False,True,False,False,0.6706,0.6706
Surplus,no-shock,41,164,900041,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.6404,0.6586,0.6586,0.6586,True,0.4,0.4,120,0,False,1.0,0.7891,0.7891,False,False,False,False,False,0.7238,0.7238
Static-tau,no-shock,41,165,900041,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.635,0.6586,0.6586,0.6586,True,0.4,0.4,120,0,False,1.0,0.7891,0.7891,False,False,False,False,False,0.7238,0.7238
Dyn-BATNA,no-shock,41,166,900041,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.6291,0.6586,0.6586,0.6586,True,0.4,0.4,100,0,False,1.0,0.6016,0.6016,False,False,False,False,False,0.6301,0.6301
Dyn-tau-nohedge,no-shock,41,167,900041,False,cooperative,0.0,-1,none,Shenzhen,Houston,0,0,True,0.6296,0.6586,0.6586,0.6586,True,0.4,0.4,120,0,False,1.0,0.7891,0.7891,False,False,False,False,False,0.7238,0.7238
Surplus,no-shock,42,168,900042,False,competitive,0.0,-1,none,Kaohsiung,Los Angeles,0,0,True,0.6404,0.6337,0.6337,0.6337,True,0.4,0.4,120,0,False,1.0,0.6248,0.6248,False,False,True,False,False,0.6293,0.6293
Static-tau,no-shock,42,169,900042,False,competitive,0.0,-1,none,Kaohsiung,Los Angeles,0,0,True,0.635,0.6337,0.6337,0.6337,True,0.4,0.4,120,0,False,1.0,0.7204,0.7204,False,False,True,False,False,0.677,0.677
Dyn-BATNA,no-shock,42,170,900042,False,competitive,0.0,-1,none,Kaohsiung,Los Angeles,0,0,True,0.6291,0.6337,0.6337,0.6337,True,0.4,0.4,120,0,False,1.0,0.6248,0.6248,False,False,True,False,False,0.6293,0.6293
Dyn-tau-nohedge,no-shock,42,171,900042,False,competitive,0.0,-1,none,Kaohsiung,Los Angeles,0,0,True,0.6296,0.6337,0.6337,0.6337,True,0.4,0.4,120,0,False,1.0,0.6248,0.6248,False,False,True,False,False,0.6293,0.6293
Surplus,no-shock,43,172,900043,False,competitive,0.0,-1,none,Manzanillo,Los Angeles,0,5,True,0.6404,0.6363,0.6363,0.6363,True,0.4,0.4,80,0,False,1.0,0.1924,0.1924,True,True,False,False,False,0.4143,0.4143
Static-tau,no-shock,43,173,900043,False,competitive,0.0,-1,none,Manzanillo,Los Angeles,0,5,True,0.635,0.6425,0.6425,0.6425,True,0.4,0.4,100,0,False,1.0,0.4417,0.4417,False,False,True,False,False,0.5421,0.5421
Dyn-BATNA,no-shock,43,174,900043,False,competitive,0.0,-1,none,Manzanillo,Los Angeles,0,5,True,0.6291,0.6579,0.6579,0.6579,True,0.4,0.4,100,0,False,1.0,0.4417,0.4417,False,False,True,False,False,0.5498,0.5498
Dyn-tau-nohedge,no-shock,43,175,900043,False,competitive,0.0,-1,none,Manzanillo,Los Angeles,0,5,True,0.6296,0.6572,0.6572,0.6572,True,0.4,0.4,100,0,False,1.0,0.4417,0.4417,False,False,True,False,False,0.5494,0.5494
Surplus,no-shock,44,176,900044,False,cooperative,0.0,-1,none,Busan,Oakland,0,0,True,0.6404,0.8714,0.8714,0.8714,True,0.4,0.4,120,0,False,1.0,0.793,0.793,False,False,False,False,False,0.8322,0.8322
Static-tau,no-shock,44,177,900044,False,cooperative,0.0,-1,none,Busan,Oakland,0,0,True,0.635,0.8799,0.8799,0.8799,True,0.4,0.4,120,0,False,1.0,0.793,0.793,False,False,False,False,False,0.8364,0.8364
Dyn-BATNA,no-shock,44,178,900044,False,cooperative,0.0,-1,none,Busan,Oakland,0,0,True,0.6291,0.901,0.901,0.901,True,0.4,0.4,100,0,False,1.0,0.4304,0.4304,False,False,False,False,False,0.6657,0.6657
Dyn-tau-nohedge,no-shock,44,179,900044,False,cooperative,0.0,-1,none,Busan,Oakland,0,0,True,0.6296,0.9,0.9,0.9,True,0.4,0.4,120,0,False,1.0,0.793,0.793,False,False,False,False,False,0.8465,0.8465
Surplus,no-shock,45,180,900045,False,cooperative,0.0,-1,none,Kaohsiung,Los Angeles,0,0,True,0.6404,0.7809,0.7809,0.7809,True,0.4,0.4,120,0,False,1.0,0.7847,0.7847,False,False,True,False,False,0.7828,0.7828
Static-tau,no-shock,45,181,900045,False,cooperative,0.0,-1,none,Kaohsiung,Los Angeles,0,0,True,0.635,0.7809,0.7809,0.7809,True,0.4,0.4,120,0,False,1.0,0.7847,0.7847,False,False,True,False,False,0.7828,0.7828
Dyn-BATNA,no-shock,45,182,900045,False,cooperative,0.0,-1,none,Kaohsiung,Los Angeles,0,0,True,0.6291,0.7809,0.7809,0.7809,True,0.4,0.4,100,0,False,1.0,0.428,0.428,False,False,False,False,False,0.6045,0.6045
Dyn-tau-nohedge,no-shock,45,183,900045,False,cooperative,0.0,-1,none,Kaohsiung,Los Angeles,0,0,True,0.6296,0.7809,0.7809,0.7809,True,0.4,0.4,120,0,False,1.0,0.7847,0.7847,False,False,True,False,False,0.7828,0.7828
Surplus,no-shock,46,184,900046,False,competitive,0.0,-1,none,Busan,Los Angeles,0,0,True,0.6404,0.6689,0.6689,0.6689,True,0.4,0.4,20,0,False,1.0,0.0543,0.0543,True,True,False,False,False,0.3616,0.3616
Static-tau,no-shock,46,185,900046,False,competitive,0.0,-1,none,Busan,Los Angeles,0,0,True,0.635,0.6754,0.6754,0.6754,True,0.4,0.4,120,0,False,1.0,0.425,0.425,False,False,True,False,False,0.5502,0.5502
Dyn-BATNA,no-shock,46,186,900046,False,competitive,0.0,-1,none,Busan,Los Angeles,0,0,True,0.6291,0.6916,0.6916,0.6916,True,0.4,0.4,120,0,False,1.0,0.425,0.425,False,False,True,False,False,0.5583,0.5583
Dyn-tau-nohedge,no-shock,46,187,900046,False,competitive,0.0,-1,none,Busan,Los Angeles,0,0,True,0.6296,0.6909,0.6909,0.6909,True,0.4,0.4,120,0,False,1.0,0.425,0.425,False,False,True,False,False,0.5579,0.5579
Surplus,no-shock,47,188,900047,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6404,0.6455,0.6455,0.6455,True,0.4,0.4,120,0,False,1.0,0.7979,0.7979,False,False,False,False,False,0.7217,0.7217
Static-tau,no-shock,47,189,900047,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.635,0.6455,0.6455,0.6455,True,0.4,0.4,120,0,False,1.0,0.7979,0.7979,False,False,False,False,False,0.7217,0.7217
Dyn-BATNA,no-shock,47,190,900047,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6291,0.6455,0.6455,0.6455,True,0.4,0.4,120,0,False,1.0,0.7979,0.7979,False,False,False,False,False,0.7217,0.7217
Dyn-tau-nohedge,no-shock,47,191,900047,False,cooperative,0.0,-1,none,Shanghai,Oakland,0,0,True,0.6296,0.6455,0.6455,0.6455,True,0.4,0.4,120,0,False,1.0,0.7979,0.7979,False,False,False,False,False,0.7217,0.7217
Surplus,no-shock,48,192,900048,False,competitive,0.0,-1,none,Ho Chi Minh City,Oakland,0,0,True,0.6404,0.7924,0.7924,0.7924,True,0.4,0.4,20,0,False,1.0,0.0862,0.0862,True,True,False,False,False,0.4393,0.4393
Static-tau,no-shock,48,193,900048,False,competitive,0.0,-1,none,Ho Chi Minh City,Oakland,0,0,True,0.635,0.7924,0.7924,0.7924,True,0.4,0.4,120,0,False,1.0,0.517,0.517,False,False,True,False,False,0.6547,0.6547
Dyn-BATNA,no-shock,48,194,900048,False,competitive,0.0,-1,none,Ho Chi Minh City,Oakland,0,0,True,0.6291,0.7924,0.7924,0.7924,True,0.4,0.4,120,0,False,1.0,0.517,0.517,False,False,True,False,False,0.6547,0.6547
Dyn-tau-nohedge,no-shock,48,195,900048,False,competitive,0.0,-1,none,Ho Chi Minh City,Oakland,0,0,True,0.6296,0.7924,0.7924,0.7924,True,0.4,0.4,120,0,False,1.0,0.517,0.517,False,False,True,False,False,0.6547,0.6547
Surplus,no-shock,49,196,900049,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.6404,0.7183,0.7183,0.7183,True,0.4,0.4,100,0,False,1.0,0.1993,0.1993,True,True,True,False,False,0.4588,0.4588
Static-tau,no-shock,49,197,900049,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.635,0.7253,0.7253,0.7253,True,0.4,0.4,100,0,False,1.0,0.4106,0.4106,False,False,True,False,False,0.568,0.568
Dyn-BATNA,no-shock,49,198,900049,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.6291,0.7427,0.7427,0.7427,True,0.4,0.4,100,0,False,1.0,0.4106,0.4106,False,False,True,False,False,0.5767,0.5767
Dyn-tau-nohedge,no-shock,49,199,900049,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.6296,0.7418,0.7418,0.7418,True,0.4,0.4,100,0,False,1.0,0.4106,0.4106,False,False,True,False,False,0.5762,0.5762
Surplus,shock,0,200,900000,True,cooperative,0.3695,2,earthquake,Kaohsiung,Los Angeles,0,5,True,0.6404,0.9076,0.4058,0.9079,True,0.1823,0.1812,100,1,True,0.8105,0.0966,0.0985,True,True,False,False,False,0.4921,0.2512
Static-tau,shock,0,201,900000,True,cooperative,0.3695,2,earthquake,Kaohsiung,Los Angeles,0,5,True,0.635,0.9076,0.4058,0.9079,True,0.1823,0.1812,100,1,True,0.8105,0.425,0.4334,False,False,False,False,False,0.6563,0.4154
Dyn-BATNA,shock,0,202,900000,True,cooperative,0.3695,2,earthquake,Kaohsiung,Los Angeles,0,5,True,0.6291,0.8479,0.3196,0.8484,True,0.1823,0.1812,80,0,False,0.8105,0.2415,0.2463,False,True,True,False,False,0.5447,0.5449
Dyn-tau-nohedge,shock,0,203,900000,True,cooperative,0.3695,2,earthquake,Kaohsiung,Los Angeles,0,5,True,0.6296,0.8474,0.3188,0.8479,True,0.1823,0.1812,100,1,True,0.8105,0.2608,0.266,False,True,False,False,False,0.5441,0.5443
Surplus,shock,1,204,900001,True,competitive,0.5999,2,labor_strike,Chennai,Houston,0,6,False,0.6404,,,,False,0.05,0.064,0,0,False,0.606,,,False,False,,True,True,0.025,0.0
Static-tau,shock,1,205,900001,True,competitive,0.5999,2,labor_strike,Chennai,Houston,0,6,False,0.635,,,,False,0.05,0.064,0,0,False,0.606,,,False,False,,True,True,0.025,0.0
Dyn-BATNA,shock,1,206,900001,True,competitive,0.5999,2,labor_strike,Chennai,Houston,0,5,True,0.6291,0.8795,-0.0793,0.8738,True,0.05,0.064,80,0,False,0.606,0.0746,0.076,False,True,True,False,False,0.4771,0.4742
Dyn-tau-nohedge,shock,1,207,900001,True,competitive,0.5999,2,labor_strike,Chennai,Houston,0,5,True,0.6296,0.8795,-0.0793,0.8738,True,0.05,0.064,100,20,True,0.606,0.0933,0.0951,False,True,False,False,False,0.2864,0.2835
Surplus,shock,2,208,900002,True,cooperative,0.3361,2,earthquake,Busan,Los Angeles,0,0,True,0.6404,0.8399,0.2655,0.8522,True,0.202,0.1769,20,0,False,0.8059,0.5778,0.62,False,False,False,False,False,0.7088,0.4216
Static-tau,shock,2,209,900002,True,cooperative,0.3361,2,earthquake,Busan,Los Angeles,0,0,True,0.635,0.8399,0.2655,0.8522,True,0.202,0.1769,120,18,True,0.8059,0.9292,0.9971,False,False,False,False,False,0.7345,0.5973
