agent,condition,scenario,episode,seed,shock,buyer_type,severity,t_s,disruption_type,supplier_port,entry_port,invalid_actions,gated_turns,up_deal,first_bid_ratio,rho_up,rho_up_static,rho_up_agent,dn_deal,tau_true_close,tau_obs_close,qty_committed,shortfall,stockout,fill_rate_realized,rho_dn,rho_dn_deliverable,below_true_batna,below_static_tau,pareto_efficient,chain_impasse,avoidable_impasse,net_value,reward
Dyn-BATNA,no-shock,3,14,900003,False,competitive,0.0,-1,none,Shenzhen,Los Angeles,0,5,True,0.6291,0.681,0.681,0.681,True,0.4,0.4,100,0,False,1.0,0.4456,0.4456,False,False,True,False,False,0.5633,0.5633
Dyn-tau-nohedge,no-shock,3,15,900003,False,competitive,0.0,-1,none,Shenzhen,Los Angeles,0,5,True,0.6296,0.681,0.681,0.681,True,0.4,0.4,100,0,False,1.0,0.4456,0.4456,False,False,True,False,False,0.5633,0.5633
Surplus,no-shock,4,16,900004,False,cooperative,0.0,-1,none,Kaohsiung,Houston,0,4,True,0.6404,0.6859,0.6859,0.6859,True,0.4,0.4,100,0,False,1.0,0.6948,0.6948,False,False,True,False,False,0.6903,0.6903
Static-tau,no-shock,4,17,900004,False,cooperative,0.0,-1,none,Kaohsiung,Houston,0,4,True,0.635,0.6859,0.6859,0.6859,True,0.4,0.4,100,0,False,1.0,0.6948,0.6948,False,False,True,False,False,0.6903,0.6903
Dyn-BATNA,no-shock,4,18,900004,False,cooperative,0.0,-1,none,Kaohsiung,Houston,0,4,True,0.6291,0.6859,0.6859,0.6859,True,0.4,0.4,100,0,False,1.0,0.6948,0.6948,False,False,True,False,False,0.6903,0.6903
Dyn-tau-nohedge,no-shock,4,19,900004,False,cooperative,0.0,-1,none,Kaohsiung,Houston,0,4,True,0.6296,0.6859,0.6859,0.6859,True,0.4,0.4,100,0,False,1.0,0.6948,0.6948,False,False,True,False,False,0.6903,0.6903
Surplus,no-shock,5,20,900005,False,competitive,0.0,-1,none,Shanghai,Houston,0,5,True,0.6404,0.7494,0.7494,0.7494,True,0.4,0.4,20,0,False,1.0,0.035,0.035,True,True,False,False,False,0.3922,0.3922
Static-tau,no-shock,5,21,900005,False,competitive,0.0,-1,none,Shanghai,Houston,0,5,True,0.635,0.7494,0.7494,0.7494,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,False,0.5747,0.3747
Dyn-BATNA,no-shock,5,22,900005,False,competitive,0.0,-1,none,Shanghai,Houston,0,5,True,0.6291,0.7494,0.7494,0.7494,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,False,0.5747,0.3747
Dyn-tau-nohedge,no-shock,5,23,900005,False,competitive,0.0,-1,none,Shanghai,Houston,0,5,True,0.6296,0.7494,0.7494,0.7494,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,False,0.5747,0.3747
Surplus,no-shock,6,24,900006,False,competitive,0.0,-1,none,Manzanillo,Houston,0,5,True,0.6404,0.841,0.841,0.841,True,0.4,0.4,20,0,False,1.0,0.0421,0.0421,True,True,False,False,False,0.4416,0.4416
Static-tau,no-shock,6,25,900006,False,competitive,0.0,-1,none,Manzanillo,Houston,0,5,True,0.635,0.841,0.841,0.841,True,0.4,0.4,100,0,False,1.0,0.4227,0.4227,False,False,True,False,False,0.6318,0.6318
Dyn-BATNA,no-shock,6,26,900006,False,competitive,0.0,-1,none,Manzanillo,Houston,0,5,True,0.6291,0.841,0.841,0.841,True,0.4,0.4,100,0,False,1.0,0.4227,0.4227,False,False,True,False,False,0.6318,0.6318
Dyn-tau-nohedge,no-shock,6,27,900006,False,competitive,0.0,-1,none,Manzanillo,Houston,0,5,True,0.6296,0.841,0.841,0.841,True,0.4,0.4,100,0,False,1.0,0.4227,0.4227,False,False,True,False,False,0.6318,0.6318
Surplus,no-shock,7,28,900007,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6404,0.7892,0.7892,0.7892,True,0.4,0.4,120,0,False,1.0,0.9,0.9,False,False,True,False,False,0.8446,0.8446
Static-tau,no-shock,7,29,900007,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.635,0.7969,0.7969,0.7969,True,0.4,0.4,120,0,False,1.0,0.9,0.9,False,False,True,False,False,0.8485,0.8485
Dyn-BATNA,no-shock,7,30,900007,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6291,0.8161,0.8161,0.8161,True,0.4,0.4,100,0,False,1.0,0.507,0.507,False,False,False,False,False,0.6615,0.6615
Dyn-tau-nohedge,no-shock,7,31,900007,False,cooperative,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6296,0.8151,0.8151,0.8151,True,0.4,0.4,120,0,False,1.0,0.9,0.9,False,False,True,False,False,0.8576,0.8576
Surplus,no-shock,8,32,900008,False,cooperative,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.6404,0.5928,0.5928,0.5928,True,0.4,0.4,120,0,False,1.0,0.9075,0.9075,False,False,True,False,False,0.7502,0.7502
Static-tau,no-shock,8,33,900008,False,cooperative,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.635,0.5928,0.5928,0.5928,True,0.4,0.4,120,0,False,1.0,0.9075,0.9075,False,False,True,False,False,0.7502,0.7502
Dyn-BATNA,no-shock,8,34,900008,False,cooperative,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.6291,0.596,0.596,0.596,True,0.4,0.4,120,0,False,1.0,0.9538,0.9538,False,False,True,False,False,0.7749,0.7749
Dyn-tau-nohedge,no-shock,8,35,900008,False,cooperative,0.0,-1,none,Kaohsiung,Oakland,0,0,True,0.6296,0.5953,0.5953,0.5953,True,0.4,0.4,120,0,False,1.0,0.9538,0.9538,False,False,True,False,False,0.7745,0.7745
Surplus,no-shock,9,36,900009,False,competitive,0.0,-1,none,Shanghai,Los Angeles,0,0,True,0.6404,0.6424,0.6424,0.6424,True,0.4,0.4,120,0,False,1.0,0.6242,0.6242,False,False,True,False,False,0.6333,0.6333
Static-tau,no-shock,9,37,900009,False,competitive,0.0,-1,none,Shanghai,Los Angeles,0,0,True,0.635,0.6424,0.6424,0.6424,True,0.4,0.4,120,0,False,1.0,0.4196,0.4196,False,False,True,False,False,0.531,0.531
Dyn-BATNA,no-shock,9,38,900009,False,competitive,0.0,-1,none,Shanghai,Los Angeles,0,0,True,0.6291,0.6483,0.6483,0.6483,True,0.4,0.4,120,0,False,1.0,0.4196,0.4196,False,False,True,False,False,0.534,0.534
